"Index","Answers"
130,"Lenovo / Computers"
131,"Lenovo / Mobile"
132,"Lenovo Computers"
133,"Lenovo Mobile"
134,"Levi's"
135,"Levis"
136,"LG, 1944430191, 1944430185, 2226126623"
137,"Lion Corporation"
138,"Listerine"
139,"Lock & Lock, 1261315421, 836005818, 1261315421"
140,"Logitech, 1684268469, 946463186, 845329513"
141,"Logitech G Official Shop"
142,"Logitech Official Shop"
143,"Logitech Official Store"
144,"Logitech Thailand Official Shop"
145,"Loreal, 596551554, 1759004368, 1759004368"
146,"LOreal"
147,"LOreal Paris"
148,"Loreal Professionnal"
149,"Love Bonito"
150,"Lysol"
151,"Ma Cherie"
152,"Mamonde"
153,"Mars Petcare, 896162007, 896162007, 896162046"
154,"Matrix"
155,"Mattel"
156,"Maxfactor"
157,"Maybelline, 1329531166, 1329531166, 1329531166"
158,"Mead Johnson, 2076171981, 2090981246, 2090981246"
159,"Merries"
160,"Metholatum"
161,"Microsoft, 1977872174"
162,"Midea"
163,"Mondelez"
164,"Mossimo"
165,"Motorola"
166,"Nestle, 1965072175, 1759203389, 2125485570"
167,"Nestle Food"
168,"Nestle Nutrition"
169,"Nestle Purina"
170,"Neutrogena"
171,"New Balance"
172,"Nissin Foods"
173,"Nivea, 1042251284, 1042251284, 1077705633"
174,"Nivea & Eucerine"
175,"Nokia, 1807136477, 1807136477, 1566165183"
176,"Nutrilon"
177,"Nyx Professional, 723016178, 722971431, 722971431"
178,"Oakley"
179,"Olay"
180,"Ollie & Co"
181,"OnePlus"
182,"Oppo, 2046275156, 1047289835"
183,"Optimum Nutrition"
184,"P&G, 1956641152, 1624937410, 1956784909"
185,"Pampers, 1503639122, 1552938030, 1552938030"
186,"Panasonic"
187,"Pantene"
188,"Pediasure"
189,"Pedigree"
190,"Pepsi, 1768633316"
191,"PepsicoFood, 2118576774, 2118576774, 2118576774"
192,"PetPet"
193,"Philips, 1550631846, 1550596333, 2023892343"
194,"Philips Avent"
195,"Pierre Cardin"
196,"Playstation"
197,"Polo Ralph Lauren"
198,"Pomelo"
199,"Prime Goods"
200,"Pringles"
201,"Puma"
202,"Quaker"
203,"Ray-Ban"
204,"Razer"
205,"RB"
206,"RB Home"
207,"RB Homecare"
208,"Realme"
209,"Reebonz"
210,"Revlon"
211,"Richprime"
212,"Rip Curl"
213,"ROG"
214,"Royal Canin"
215,"Sabina, 1581215868, 1175832057, 2124842288"
216,"Samsonite"
217,"Samsung"
218,"Samsung  "
219,"Samsung Appliances"
220,"Samsung Mobile, 1720432452, 1720432452, 1720432452"
221,"Samsung Monitors"
222,"Samsung Wearables"
223,"Sandisk"
224,"SC Johnson"
225,"Scholl"
226,"Scholl, Veet, OTC (Strepsils, Nurofen etc)"
227,"Seagate"
228,"Senka, 2041024266, 2116526856, 2041024208"
229,"Sennheiser"
230,"Sharp"
231,"Shiseido PC Brands"
232,"Shopee Emart"
233,"Shopee Mart"
234,"Shopee24h"
235,"Skechers"
236,"SMart, 2044265206, 1158445924, 1158445924"
237,"Sofina"
238,"Sony, 1578181855, 1600607319, 1600607319"
239,"St. Ives"
240,"Superdry"
241,"Supor, 962054478, 962054478, 876811056"
242,"Sustagen"
243,"Tefal"
244,"The Body Shop, 1693774774, 1700648470, 2054411297"
245,"Thomas & Friends"
246,"Timberland"
247,"Time Depot"
248,"Timex, 1641177285, 257152306"
249,"Toshiba"
250,"Triumph, 1783066835, 443235430, 522471124"
251,"Tsubaki"
252,"Unilever, 1584665496, 2094547750, 1583199609"
253,"Unilever food solutions"
254,"Unilever Foods"
255,"Universal Traveller"
256,"Vanish"
257,"Vans"
258,"Veet, Scholl"
259,"Vichy, 578320669, 578320635, 578320635"
260,"Vivo, 1176026565, 1176026565, 1176026565"
261,"Wacoal"
262,"Watsons"
263,"WD"
264,"Wiko"
265,"Wrangler"
266,"Wrigley"
267,"Wyeth Nutrition "
268,"Xiaomi, 1373245117, 1913571916, 1692983959"
269,"Yves Rocher, 1719453346, 1873795144, 1719453396"
270,"Za, 365981106, 1037297706, 365980996"
